app,category,rating,reviews,size_mb,installs,type,price,content_rating,genre,updated,version,android
"DW Learn German - A1, A2, B1 and placement test",FAMILY,4.3,902,1.8,100000,Free,0,Everyone,Education,"September 28, 2017",1,4.4 and up
Socrative Teacher,EDUCATION,3.9,1239,1.8,100000,Free,0,Everyone,Education,"July 29, 2016",4.4.1,3.2 and up
Cover Camera for FB,PHOTOGRAPHY,3.8,742,1.8,100000,Free,0,Everyone,Photography,"March 9, 2014",3.0.0,2.2 and up
EdiRange,TOOLS,3,736,1.8,100000,Free,0,Everyone,Tools,"July 5, 2017",1.11,4.0.3 and up
I am rich,LIFESTYLE,3.8,3547,1.8,100000,Paid,399.99,Everyone,Lifestyle,"January 12, 2018",2,4.0.3 and up
CM Apps,TOOLS,3.8,3341,1.9,100000,Free,0,Everyone,Tools,"April 17, 2016",4.5,4.2 and up
ai robot keyboard,PERSONALIZATION,4.7,1891,1.9,100000,Free,0,Everyone,Personalization,"May 24, 2018",10001008,4.0.3 and up
X Home Bar - Free,TOOLS,4.6,4210,1.9,100000,Free,0,Everyone,Tools,"June 18, 2018",1.5.0,4.1 and up
HTC Sense Input-CA,TOOLS,3.1,124,1.9,100000,Free,0,Everyone,Tools,"April 22, 2014",9.7.753080,4.1 and up
CF.lumen,TOOLS,4.4,4901,1.9,100000,Free,0,Everyone,Tools,"February 9, 2017",3.7,5.0 and up
Do Not Disturb,PRODUCTIVITY,4.3,6120,1.9,100000,Free,0,Everyone,Productivity,"November 22, 2017",2.10.1,6.0 and up
AC Remote Control,TOOLS,3.3,472,2,100000,Free,0,Everyone,Tools,"October 17, 2017",1.3,4.1 and up
HotSpot Tethering Free/WiFi AP,TOOLS,3.9,478,2,100000,Free,0,Everyone,Tools,"September 12, 2016",2.003,2.3 and up
EzCalculator,TOOLS,4.1,1657,2,100000,Free,0,Everyone,Tools,"September 17, 2017",2.1.0,5.0 and up
LactMed,MEDICAL,4.3,573,2,100000,Free,0,Everyone,Medical,"June 1, 2017",3.1,3.0 and up
AU Results - AU COE Corner,FAMILY,4,664,2.1,100000,Free,0,Everyone,Education,"December 14, 2017",2.2.5,4.1 and up
Space Coast CU Mobile,FINANCE,3.8,922,2.1,100000,Free,0,Everyone,Finance,"July 13, 2017",2.1.0.1108,2.3 and up
Inch/cm/Foot Conversion,PRODUCTIVITY,4,319,2.1,100000,Free,0,Everyone,Productivity,"August 20, 2017",2.0.1,2.3.3 and up
Portable Wi-Fi hotspot Free,COMMUNICATION,4,1711,2.1,100000,Free,0,Everyone,Communication,"January 11, 2018",1.2.5.4-11,2.3 and up
Florida Lottery Results,NEWS_AND_MAGAZINES,4.1,763,2.2,100000,Free,0,Everyone,News & Magazines,"December 18, 2015",2,2.3.3 and up
BEBONCOOL GAMEPAD V1.0,GAME,3.9,404,2.2,100000,Free,0,Everyone,Arcade,"August 30, 2017",1.2,4.0 and up
StartPage Private Search,LIFESTYLE,4.6,10198,2.2,100000,Free,0,Everyone,Lifestyle,"August 21, 2017",1.1,2.1 and up
JOBS.bg,BUSINESS,4.4,1630,2.2,100000,Free,0,Everyone,Business,"August 22, 2017",3.1.0,4.4 and up
3G/4G Config Dz,TOOLS,4.2,2058,2.3,100000,Free,0,Everyone,Tools,"May 15, 2017",3.0.2,4.0 and up
"cm, mm to inch, feet converter tool",PRODUCTIVITY,4.3,176,2.3,100000,Free,0,Everyone,Productivity,"September 27, 2016",1.1,2.3.3 and up
EU Flags Free Live Wallpaper,PERSONALIZATION,3.4,730,2.3,100000,Free,0,Everyone,Personalization,"November 18, 2013",1.95,2.1 and up
AC Remote Control Simulator,FAMILY,3.3,353,2.3,100000,Free,0,Everyone,Entertainment,"December 4, 2017",1,4.0.3 and up
High Blood Pressure Symptoms,MEDICAL,4,531,2.3,100000,Free,0,Everyone,Medical,"January 18, 2015",1,3.0 and up
News Minecraft.fr,NEWS_AND_MAGAZINES,3.8,881,2.3,100000,Free,0,Everyone,News & Magazines,"January 20, 2014",1.5,1.6 and up
CB Frequencies FREE!,TOOLS,3.1,364,2.3,100000,Free,0,Everyone,Tools,"March 2, 2018",2,4.0.3 and up
BakaReader EX,BOOKS_AND_REFERENCE,4.3,8894,2.3,100000,Free,0,Everyone,Books & Reference,"July 23, 2018",1.1.51,4.0 and up
Free VIN Report for Used Cars,AUTO_AND_VEHICLES,4.6,2431,2.4,100000,Free,0,Everyone,Auto & Vehicles,"June 12, 2018",1.37,4.0 and up
Bacterial Vaginosis Symptoms,MEDICAL,4.1,698,2.4,100000,Free,0,Everyone 10+,Medical,"February 3, 2015",1.1,3.0 and up
ePay.bg,FINANCE,4.4,2017,2.4,100000,Free,0,Everyone,Finance,"July 26, 2018",2.22,4.1 and up
Calculator L,PRODUCTIVITY,4.5,2965,2.4,100000,Free,0,Everyone,Productivity,"May 10, 2015",1.1.3,4.3 and up
Ba Zi Fortune,LIFESTYLE,3.9,592,2.5,100000,Free,0,Everyone,Lifestyle,"January 2, 2018",1.0.23,2.3 and up
DU Collage Maker - Photo Collage & Grid & Layout,PHOTOGRAPHY,4.7,4595,2.5,100000,Free,0,Everyone,Photography,"September 4, 2017",1.4.0,4.0 and up
Agent HQ for The Division,FAMILY,4.1,1060,2.5,100000,Free,0,Everyone,Entertainment,"February 17, 2018",0.35,4.0.3 and up
Camera V7 24 Megapixel,PHOTOGRAPHY,4,2480,2.5,100000,Free,0,Everyone,Photography,"August 1, 2018",4,4.1 and up
Cold Spirits,LIBRARIES_AND_DEMO,NaN,363,2.5,100000,Free,0,Everyone,Libraries & Demo,"January 2, 2017",1.2,2.3 and up
Download Facebook Photo Albums,TOOLS,4,3840,2.5,100000,Free,0,Everyone,Tools,"June 2, 2017",2.4,4.4 and up
Ace Screen Recorder w facecam,TOOLS,4.2,2447,2.5,100000,Free,0,Everyone,Tools,"December 26, 2017",1.19,5.0 and up
BF 3d Wallpapers,FAMILY,4.1,256,2.5,100000,Free,0,Teen,Entertainment,"June 18, 2015",4.7,3.0 and up
VIVA BH,TOOLS,4,2055,2.6,100000,Free,0,Everyone,Tools,"April 9, 2018",2.44,4.0 and up
Webmail web mobile app,TOOLS,2.3,395,2.6,100000,Free,0,Everyone,Tools,"August 5, 2018",4.2,4.1 and up
"Just a Line - Draw Anywhere, with AR",FAMILY,4.1,1152,2.7,100000,Free,0,Everyone,Entertainment,"May 30, 2018",2.0.0,7.0 and up
Hypertension Hi blood pressure,MEDICAL,3.8,292,2.7,100000,Free,0,Everyone,Medical,"April 16, 2018",43,4.0.3 and up
TeamWard – live help for LoL,FAMILY,4.8,3136,2.7,100000,Free,0,Everyone,Entertainment,"June 27, 2018",2.19.6,4.0.3 and up
HTC Sense Input-AR,TOOLS,3.8,1420,2.7,100000,Free,0,Everyone,Tools,"April 22, 2014",9.7.753080,4.1 and up
TN Patta Chitta EC Info,TOOLS,4.2,1611,2.7,100000,Free,0,Everyone,Tools,"August 6, 2018",5,4.4 and up
Hypertension High blood pressure,MEDICAL,3.8,292,2.7,100000,Free,0,Everyone,Medical,"April 16, 2018",43,4.0.3 and up
R. Lee Ermey's Official Sound,FAMILY,4.2,1696,2.7,100000,Free,0,Mature 17+,Entertainment,"September 19, 2012",1.4,2.1 and up
CM Secure Browser (Authorized),TOOLS,4.2,1147,2.7,100000,Free,0,Everyone,Tools,"October 2, 2017",1.1.6,4.0 and up
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8,100000,Free,0,Everyone,Art & Design;Creativity,"June 20, 2018",1.1,4.4 and up
ES File Explorer,TOOLS,4.1,278,2.8,100000,Free,0,Everyone,Tools,"July 2, 2018",3.1.5,4.0 and up
Dialer theme Droid L,PERSONALIZATION,4.3,1734,2.8,100000,Free,0,Mature 17+,Personalization,"April 2, 2016",4,4.0.3 and up
HTC Sense Input-BG,TOOLS,2.7,198,2.8,100000,Free,0,Everyone,Tools,"April 22, 2014",9.7.753080,4.1 and up
The Video Messenger App,SOCIAL,4.4,1200,2.8,100000,Free,0,Everyone,Social,"August 2, 2018",0.1.1,4.1 and up
Files To SD Card Pro,TOOLS,4.2,994,2.8,100000,Free,0,Everyone,Tools,"May 18, 2018",6.0.0,5.0 and up
Talking Boyfriend,FAMILY,2.9,1073,2.8,100000,Free,0,Everyone,Entertainment,"August 28, 2016",1.1,2.3.3 and up
"m, cm, mm to yard, feet, inch converter tool",TOOLS,4.3,246,2.8,100000,Free,0,Everyone,Tools,"February 6, 2018",1.1,4.0 and up
Funny Jokes,FAMILY,3.9,2505,2.9,100000,Free,0,Mature 17+,Entertainment,"June 18, 2018",1.2,4.1 and up
4K Ultra Camera,PHOTOGRAPHY,4.2,382,2.9,100000,Free,0,Everyone,Photography,"July 30, 2018",39.272.12,2.2 and up
English translation from Bengali,BOOKS_AND_REFERENCE,4.5,527,2.9,100000,Free,0,Everyone,Books & Reference,"March 31, 2018",14,4.0 and up
Best Car Wallpapers,AUTO_AND_VEHICLES,4.5,994,2.9,100000,Free,0,Everyone,Auto & Vehicles,"March 27, 2018",1.6,4.1 and up
Traffic Info and Traffic Alert,MAPS_AND_NAVIGATION,3.6,695,2.9,100000,Free,0,Everyone,Maps & Navigation,"January 28, 2018",5.3,4.0 and up
BBC Persian | BBC Farsi News,NEWS_AND_MAGAZINES,4.3,978,2.9,100000,Free,0,Everyone,News & Magazines,"May 12, 2018",1.8.2,4.0.3 and up
Surah Al-Waqiah,BOOKS_AND_REFERENCE,4.7,1201,2.9,100000,Free,0,Everyone,Books & Reference,"June 24, 2015",1,2.3.3 and up
Digital Clock AW-7,TOOLS,4.1,484,2.9,100000,Free,0,Everyone,Tools,"March 6, 2018",2,4.3 and up
DS Thermometer,WEATHER,3.7,631,3,100000,Free,0,Everyone,Weather,"May 30, 2015",2.2,2.3 and up
AX Battery Saver,FINANCE,4.6,4546,3,100000,Free,0,Everyone,Finance,"February 8, 2018",1.2.3,4.0 and up
Fifth Edition DM Tools,FAMILY,4.1,942,3,100000,Free,0,Everyone,Role Playing,"January 19, 2017",1.14b,3.0 and up
Mercato foot by Maxifoot,SPORTS,4.4,697,3,100000,Free,0,Everyone,Sports,"March 16, 2017",1.1,4.1 and up
Neighborhoods & Apartments,LIFESTYLE,3.9,2042,3,100000,Free,0,Everyone,Lifestyle,"August 28, 2015",3.1.6,4.0 and up
Analog Clock AW Plus-7,TOOLS,4.2,725,3,100000,Free,0,Everyone,Tools,"March 14, 2018",2,4.3 and up
Analog Clock AW-7,TOOLS,4.3,2158,3,100000,Free,0,Everyone,Tools,"March 7, 2018",2,4.3 and up
Service Disabler,TOOLS,4.3,534,3,100000,Free,0,Everyone,Tools,"June 23, 2018",1.0.6,4.0 and up
DP and Status,FAMILY,4.1,623,3,100000,Free,0,Everyone,Entertainment,"August 11, 2017",1.0.1,3.0 and up
Frequencies Free,TOOLS,3.5,382,3.1,100000,Free,0,Everyone,Tools,"February 4, 2018",1.9,4.0.3 and up
lesparticuliers.fr,LIFESTYLE,NaN,96,1,50000,Free,0,Everyone,Lifestyle,"November 25, 2014",1.5,2.3 and up
Freecell CY,GAME,4,387,1.1,50000,Free,0,Everyone,Card,"April 16, 2011",1.3.3,1.6 and up
Device Info Ex Live Wallpaper,PERSONALIZATION,4.1,2645,1.1,50000,Paid,0.99,Everyone,Personalization,"December 20, 2015",11.0.0,2.1 and up
Patient Portal,MEDICAL,2.8,66,1.2,50000,Free,0,Everyone,Medical,"October 25, 2016",1,4.0.3 and up
Add-On: Alcatel (h),PRODUCTIVITY,4.5,107,1.2,50000,Free,0,Everyone,Productivity,"May 19, 2015",10.0.3148,4.0 and up
Real AI,FAMILY,3.8,949,1.2,50000,Free,0,Everyone,Entertainment,"July 22, 2018",4.9,4.0 and up
dv Prompter,VIDEO_PLAYERS,3.7,321,1.3,50000,Free,0,Everyone,Video Players & Editors,"March 14, 2017",1.2.9,4.2 and up
"EG SIM CARD (EGSIMCARD, 이지심카드)",BUSINESS,2.9,322,1.5,50000,Free,0,Everyone,Business,"March 28, 2017",2.13,2.2 and up
CBRadioTab,TOOLS,3.9,127,1.5,50000,Free,0,Everyone,Tools,"April 1, 2017",1,3.0 and up
Igitabo cy'Indirimbo,FAMILY,4.5,93,1.6,50000,Free,0,Everyone,Entertainment,"February 5, 2018",INDIRIMBO V.2014.002,1.6 and up
DV Lottery Photo Tool,PHOTOGRAPHY,4,223,1.7,50000,Free,0,Everyone,Photography,"October 28, 2017",1.06,4.2 and up
FitConsole,HEALTH_AND_FITNESS,2.6,219,1.8,50000,Free,0,Everyone,Health & Fitness,"October 30, 2015",v1.1-20151030,4.0 and up
BlitzWolf Shutter - BW Shutter,PHOTOGRAPHY,2.9,333,1.8,50000,Free,0,Everyone,Photography,"November 22, 2017",1.8.0,4.0 and up
C++ Tutorials,EDUCATION,4.1,358,1.9,50000,Free,0,Everyone,Education,"August 21, 2014",1.1,2.3 and up
Shortcuts for After Effects,FAMILY,3.7,464,1.9,50000,Free,0,Everyone,Education,"August 9, 2014",1,2.3 and up
EURES - Your Job in Europe,BUSINESS,2.7,358,2,50000,Free,0,Everyone,Business,"September 18, 2017",1.4.1,2.3.3 and up
Financial Calculator Pro EF,FINANCE,4.3,634,2,50000,Free,0,Everyone,Finance,"October 4, 2013",2.1.0.9,2.1 and up
OpenGL ES Extensions - The OpenGL Utility,TOOLS,4.2,513,2,50000,Free,0,Everyone,Tools,"May 6, 2018",5.0.5,4.0 and up
Advanced Download Manager Pro,TOOLS,4.7,6505,2,50000,Paid,2.99,Everyone,Tools,"November 3, 2017",6.4.0,4.0 and up
senior easy phone,PERSONALIZATION,3.9,168,2.1,50000,Free,0,Teen,Personalization,"March 27, 2015",1,2.3 and up
"Length Converter: convert mm,cm,m, feet,yard,mile",TOOLS,4.7,76,2.2,50000,Free,0,Everyone,Tools,"April 5, 2018",1.4,4.0.3 and up
Rande.cz,SOCIAL,3.2,398,2.2,50000,Free,0,Mature 17+,Social,"December 3, 2014",1.0.1,2.3.3 and up
Tennis Livescore Widget,SPORTS,4.1,361,2.2,50000,Free,0,Everyone,Sports,"October 13, 2016",1,2.3 and up
GRE Tutor,EDUCATION,4,275,2.3,50000,Free,0,Everyone,Education,"December 2, 2013",2.9,2.1 and up
EP Mobile,MEDICAL,4.3,267,2.3,50000,Free,0,Everyone,Medical,"July 8, 2018",2.18,4.0 and up
Free Wi-fi HotspoT,COMMUNICATION,4.1,382,2.3,50000,Free,0,Everyone,Communication,"July 20, 2018",2.5,4.0 and up
HTC Sense Input-LV,TOOLS,3.6,59,2.3,50000,Free,0,Everyone,Tools,"April 22, 2014",9.7.753080,4.1 and up
SQLite DB Reader,TOOLS,3.6,301,2.3,50000,Free,0,Everyone,Tools,"November 28, 2017",1.2.9,4.0 and up
Paprika Recipe Manager,FOOD_AND_DRINK,4.1,1268,2.3,50000,Paid,4.99,Everyone,Food & Drink,"June 3, 2018",1.4.4,4.0 and up
B&W Photo Filter Editor,PHOTOGRAPHY,3.9,205,2.4,50000,Free,0,Everyone,Photography,"July 29, 2017",1.0.5,4.0 and up
3G DZ Configuration,COMMUNICATION,4.3,488,2.5,50000,Free,0,Everyone,Communication,"November 19, 2015",6.2.3,3.0 and up
C Programs and Reference,BOOKS_AND_REFERENCE,4.2,873,2.5,50000,Free,0,Everyone,Books & Reference,"July 31, 2014",2.2,2.1 and up
Used Cars Mexico,AUTO_AND_VEHICLES,4,190,2.5,50000,Free,0,Everyone,Auto & Vehicles,"October 14, 2016",1,2.3 and up
X Browser,COMMUNICATION,4,142,2.5,50000,Free,0,Everyone,Communication,"December 31, 2017",1.1.1,4.0 and up
Passenger rights,TRAVEL_AND_LOCAL,3.9,442,2.5,50000,Free,0,Everyone,Travel & Local,"January 16, 2018",1.1.3,4.0.3 and up
DV 2019 - EDV Photo & Form,BOOKS_AND_REFERENCE,3.9,314,2.6,50000,Free,0,Everyone,Books & Reference,"October 24, 2016",6.0.0,4.0.3 and up
Dx Ludo,FAMILY,3.6,215,2.6,50000,Free,0,Everyone,Puzzle,"April 18, 2011",1,2.1 and up
Wi-Fi Visualizer,TOOLS,3.9,132,2.6,50000,Free,0,Everyone,Tools,"May 17, 2017",0.0.9,2.3 and up
AX Video Player,VIDEO_PLAYERS,4.4,569,2.6,50000,Free,0,Everyone,Video Players & Editors,"November 11, 2015",1.0.9,3.0 and up
Speedometer with G-FORCE meter,TOOLS,3.8,415,2.7,50000,Free,0,Everyone,Tools,"June 1, 2017",7,2.3 and up
BBWCupid - BBW Dating App,DATING,3.5,241,2.8,50000,Free,0,Mature 17+,Dating,"June 1, 2018",2.2.0.1748,5.0 and up
Paraglider Dashboard,SPORTS,4.6,549,2.8,50000,Free,0,Everyone,Sports,"March 3, 2018",2.1.4,4.0 and up
Stickman and Axe,GAME,4.4,69,2.8,50000,Free,0,Teen,Action,"November 25, 2017",1,4.0.3 and up
Birthdays & Other Events,EVENTS,4.3,456,2.8,50000,Free,0,Everyone,Events,"June 21, 2018",1.75,2.3.3 and up
ChopAssistant,TOOLS,4.2,455,2.8,50000,Free,0,Everyone,Tools,"February 28, 2017",1.6,6.0 and up
My Android Device S/W & H/W,FAMILY,4.5,681,2.8,50000,Free,0,Everyone,Education,"November 20, 2015",1.1,2.3 and up
CR Calculator,TOOLS,4.3,297,2.8,50000,Free,0,Everyone,Tools,"January 27, 2018",2.2,4.0 and up
AZ REMOTE CONTROL,TOOLS,2.1,149,2.8,50000,Free,0,Everyone,Tools,"March 28, 2016",1.9,3.2 and up
Analog and Digital Clock AW-7,TOOLS,4,202,2.9,50000,Free,0,Everyone,Tools,"March 15, 2018",2,4.3 and up
Antenna Tool,TOOLS,4.2,522,2.9,50000,Free,0,Everyone,Tools,"October 26, 2017",2.2 Free,4.0.3 and up
Lie Detector,FAMILY,3.1,306,2.9,50000,Free,0,Everyone,Simulation,"April 4, 2017",1.2.1,4.0.3 and up
SPEED L,SHOPPING,4.3,85,2.9,50000,Free,0,Everyone,Shopping,"June 26, 2018",1.24,4.4 and up
Square Analog Clock AW-7,TOOLS,4.2,294,3,50000,Free,0,Everyone,Tools,"March 10, 2018",2,4.3 and up
University of Alabama,FAMILY,4.5,302,3,50000,Free,0,Everyone,Education,"November 30, 2017",3.3,4.1 and up
Watch AW-7,TOOLS,4.2,249,3,50000,Free,0,Everyone,Tools,"March 17, 2018",2,4.3 and up
BD Internet Packages (Updated),COMMUNICATION,4,474,3,50000,Free,0,Everyone,Communication,"August 5, 2016",0.0.5,4.0 and up
Inputting Plus: Ctrl + Z/F/C/V,PRODUCTIVITY,4.2,1117,3,50000,Free,0,Everyone,Productivity,"October 18, 2017",1.0.6,5.0 and up
InterracialCupid - Interracial Dating App,DATING,3.4,212,3,50000,Free,0,Mature 17+,Dating,"June 13, 2018",2.3.0.1781,5.0 and up
DIY Crafts Cds,LIFESTYLE,4,209,3.1,50000,Free,0,Everyone,Lifestyle,"January 24, 2017",3,3.0 and up
C Programs Handbook,BOOKS_AND_REFERENCE,4,459,3.1,50000,Free,0,Everyone,Books & Reference,"November 16, 2017",2.2.3.3,4.0 and up
VOLT DROP CALCULATOR BS 7671,TOOLS,3.9,71,1.1,10000,Free,0,Everyone,Tools,"January 26, 2016",2,2.3 and up
BL Kennedy Theme,PERSONALIZATION,4.2,279,1.1,10000,Free,0,Everyone,Personalization,"May 6, 2013",1.0.2,2.1 and up
CS Interview FAQs,FAMILY,4.3,99,1.1,10000,Free,0,Everyone,Education,"February 11, 2013",1.13,2.2 and up
DL Calculator,SPORTS,4.5,177,1.1,10000,Free,0,Everyone,Sports,"September 17, 2015",1,2.2 and up
DG - Digital Coupons - Free Coupon and Discount,SHOPPING,3.6,38,1.1,10000,Free,0,Everyone,Shopping,"July 1, 2018",20,4.0 and up
I AM RICH,FAMILY,3.9,1455,1.1,10000,Free,0,Everyone,Entertainment,"October 11, 2017",1,2.3 and up
Vpn Hosts (ad blocker & no root & support ipv6 ),TOOLS,4.4,319,1.1,10000,Paid,2.99,Everyone,Tools,"July 3, 2018",2.0.1,4.4 and up
RAM Cleanup Ad-Free Option,TOOLS,4.4,457,1.1,10000,Paid,2.99,Everyone,Tools,"July 26, 2016",3,4.1 and up
JONACK (D Story Teller),FAMILY,4.4,152,1.2,10000,Free,0,Everyone,Entertainment,"November 28, 2015",1,2.2 and up
Libre Scan (Diabetes:M addon),MEDICAL,2.4,102,1.2,10000,Free,0,Everyone,Medical,"July 9, 2017",1.2,4.4 and up
THE aMAZEing Labyrinth,FAMILY,3.9,1615,1.2,10000,Paid,4.99,Everyone,Board;Brain Games,"February 9, 2016",1.0.3,4.0 and up
DC Metro,MAPS_AND_NAVIGATION,3.4,59,1.3,10000,Free,0,Everyone,Maps & Navigation,"January 26, 2015",1,1.5 and up
Mini for Facebook lite,SOCIAL,4.1,260,1.3,10000,Free,0,Teen,Social,"June 21, 2018",1.2,3.0 and up
CL Pro App for Craigslist,SHOPPING,4,119,1.3,10000,Free,0,Everyone,Shopping,"July 1, 2017",CL Pro for Craigslist - Canada 150,4.0 and up
Centimeter Ruler,TOOLS,3.3,16,1.3,10000,Free,0,Everyone,Tools,"November 5, 2016",2,4.0 and up
Car G-Force Meter,TOOLS,4.2,184,1.3,10000,Free,0,Everyone,Tools,"July 29, 2017",2.23,4.0 and up
BW-Go Free,GAME,4.6,547,1.3,10000,Free,0,Everyone,Board,"June 18, 2015",4.8.1,2.3 and up
F-Gas Solutions,BUSINESS,4.2,127,1.4,10000,Free,0,Everyone,Business,"October 7, 2016",2.1.3,4.0 and up
Cyprus Bus Companion,MAPS_AND_NAVIGATION,3.9,112,1.4,10000,Free,0,Everyone,Maps & Navigation,"December 26, 2013",1.3,2.2 and up
TNEB Quick Pay Easy,FINANCE,4.5,28,1.4,10000,Free,0,Teen,Finance,"January 29, 2018",1,3.0 and up
Wi-Fi Networks,PRODUCTIVITY,4.2,115,1.4,10000,Free,0,Everyone,Productivity,"October 5, 2015",1.4,4.1 and up
BkEmu - BK-0010/11M emulator,FAMILY,4.6,222,1.4,10000,Free,0,Everyone,Entertainment,"February 7, 2016",0.4.0,2.1 and up
FP Click sound changer,PERSONALIZATION,3.5,178,1.4,10000,Free,0,Everyone,Personalization,"December 26, 2015",1,1.6 and up
Arabic Chat - Chat,PARENTING,4.4,162,1.5,10000,Free,0,Everyone,Parenting,"May 1, 2018",1,4.1 and up
Dialysis of Drugs,MEDICAL,2.9,92,1.5,10000,Free,0,Everyone,Medical,"June 15, 2018",3.1-2018 – (13),4.0 and up
RD/FD Calculator,FINANCE,4.4,92,1.5,10000,Free,0,Everyone,Finance,"January 31, 2017",1.2.1,4.0.3 and up
Profile w/o crop for Telegram,PHOTOGRAPHY,4.2,348,1.5,10000,Free,0,Everyone,Photography,"April 11, 2014",3.1.50,2.3.3 and up
Gold Quote - Gold.fr,FINANCE,NaN,96,1.5,10000,Free,0,Everyone,Finance,"May 19, 2016",2.3,2.2 and up
TN Patta Citta & EC,BOOKS_AND_REFERENCE,3.8,48,1.5,10000,Free,0,Everyone,Books & Reference,"March 27, 2018",1,3.0 and up
DR CONTROL,FAMILY,3.4,267,1.5,10000,Free,0,Everyone,Entertainment,"March 8, 2017",2.1.0,4.0.3 and up
EO.TRADE - Coin sale,FINANCE,4.3,95,1.5,10000,Free,0,Everyone,Finance,"June 5, 2018",0.3,4.0.3 and up
DF Night Selfies,PHOTOGRAPHY,4.3,194,1.5,10000,Free,0,Everyone,Photography,"February 15, 2018",1.6.0,4.0 and up
Gainesville Bus Tracker,MAPS_AND_NAVIGATION,4.2,63,1.6,10000,Free,0,Everyone,Maps & Navigation,"August 25, 2015",1.0.6,4.0 and up
Study AP World History,FAMILY,4.6,513,1.6,10000,Free,0,Everyone,Education,"July 18, 2016",1.1.2,4.0.3 and up
DT Driving Test Theory,FAMILY,4.6,477,1.6,10000,Free,0,Everyone,Education,"February 22, 2018",1.1,4.0.3 and up
Sleep as Android Garmin Addon,HEALTH_AND_FITNESS,2.6,114,1.6,10000,Free,0,Everyone,Health & Fitness,"June 20, 2018",20180620,2.3 and up
Mail1Click - Secure Mail,COMMUNICATION,4.1,255,1.6,10000,Free,0,Everyone,Communication,"April 11, 2017",2.3,2.2 and up
BT Communicator,SOCIAL,3.8,32,1.6,10000,Free,0,Teen,Social,"December 16, 2016",1,1.6 and up
BG Score,SPORTS,2.6,64,1.6,10000,Free,0,Everyone,Sports,"July 26, 2017",2.1,4.0.3 and up
Battery Notifier Pro BT,TOOLS,4.7,1363,1.6,10000,Paid,2.59,Everyone,Tools,"June 7, 2017",2.5.18,1.6 and up
DCUO|CR Calculator Lite,TOOLS,4,182,1.7,10000,Free,0,Everyone,Tools,"August 14, 2017",3.3,3.0 and up
Be Fabulous PHOTO BOOTH,PHOTOGRAPHY,4.1,560,1.7,10000,Free,0,Everyone,Photography,"February 1, 2017",1.07,4.0 and up
Bg+ Call Blocker,TOOLS,4.3,80,1.7,10000,Free,0,Everyone,Tools,"March 20, 2018",1.2,4.0 and up
¿Es Vegan?,FOOD_AND_DRINK,4.6,438,1.7,10000,Free,0,Everyone,Food & Drink,"August 1, 2017",2.2.3,3.0 and up
Volume Slider Like Android P Volume Control,TOOLS,4.1,1129,1.7,10000,Paid,0.99,Everyone,Tools,"June 30, 2018",1.28,4.1 and up
Ei Electronics AudioLINK,TOOLS,3.4,59,1.8,10000,Free,0,Everyone,Tools,"October 19, 2017",2.3.1,4.0 and up
EU FTL Calculator,BUSINESS,3.6,60,1.8,10000,Free,0,Everyone,Business,"June 1, 2018",1.5.1,4.1 and up
foody Cyprus - online ordering,SHOPPING,4.5,214,1.8,10000,Free,0,Everyone,Shopping,"February 27, 2018",2.92,4.0.3 and up
BW-Joseki,GAME,4.7,705,1.8,10000,Free,0,Everyone,Board,"July 28, 2015",1.2.1,4.0.3 and up
BL 1-Click Camera - Free,PHOTOGRAPHY,3.5,52,1.8,10000,Free,0,Everyone,Photography,"August 18, 2016",2.0.160818,2.3 and up
EMT Review Plus,MEDICAL,4.5,199,1.8,10000,Paid,11.99,Everyone,Medical,"June 27, 2018",3.0.5,4.4W and up
EMT Review Plus,MEDICAL,4.5,199,1.8,10000,Paid,11.99,Everyone,Medical,"June 27, 2018",3.0.5,4.4W and up
Dude Perfect,SPORTS,4.5,97,1.9,10000,Free,0,Everyone,Sports,"June 28, 2017",1,4.1 and up
Flashlight Free w/ compass,TOOLS,4,75,1.9,10000,Free,0,Everyone,Tools,"March 15, 2017",2.5,2.2 and up
U Pull It Auto Dismantler,BUSINESS,3.1,71,1.9,10000,Free,0,Everyone,Business,"May 14, 2013",1,1.6 and up
Blood Pressure - Heartcare,MEDICAL,4.2,70,1.9,10000,Free,0,Everyone,Medical,"May 27, 2016",2.46 Saber,4.4 and up
Ay Hasnain k Nana Milad Naat,BOOKS_AND_REFERENCE,4.3,72,1.9,10000,Free,0,Everyone,Books & Reference,"December 21, 2015",1,2.3 and up
Ruler,HOUSE_AND_HOME,4.7,126,1.9,10000,Free,0,Everyone,House & Home,"August 21, 2017",1,4.0 and up
Eurostat Country Profiles,PRODUCTIVITY,3.7,87,2,10000,Free,0,Everyone,Productivity,"April 12, 2018",37,4.0.3 and up
US DV Lottery 2020 Apply,TRAVEL_AND_LOCAL,4.6,41,2,10000,Free,0,Everyone,Travel & Local,"January 14, 2018",1.02,4.0 and up
Vienna U-Bahn,MAPS_AND_NAVIGATION,3.9,139,2,10000,Free,0,Everyone,Maps & Navigation,"July 25, 2018",1.21.0,4.0 and up
Android P Rotation,TOOLS,4.5,502,2,10000,Free,0,Everyone,Tools,"July 15, 2018",1.5,5.0 and up
High Blood Pressure Symptoms,MEDICAL,4.3,46,2,10000,Free,0,Everyone,Medical,"April 5, 2017",1.0.2,4.0.3 and up
