app,installs,type,content,genre,version,reviews,rating,size,price
Angry Birds Rio,"100,000,000+",Free,Everyone,Arcade,4.1 and up,2610680,4.4,46,0
Angry Birds Rio,"100,000,000+",Free,Everyone,Arcade,4.1 and up,2610680,4.4,46,0
Angry Birds Rio,"100,000,000+",Free,Everyone,Arcade,4.1 and up,2610680,4.4,46,0
Angry Birds Rio,"100,000,000+",Free,Everyone,Arcade,4.1 and up,2610680,4.4,46,0
Find Real Love — YouLove Premium Dating,"10,000,000+",Free,Mature 17+,Dating,4.1 and up,212626,4.5,11,0
Find Real Love — YouLove Premium Dating,"10,000,000+",Free,Mature 17+,Dating,4.1 and up,212626,4.5,11,0
Safe365 – Cell Phone GPS Locator For Your Family,"1,000,000+",Free,Everyone,Parenting,4.0.3 and up,11501,4.4,11,0
Deus Ex GO,"100,000+",Paid,Teen,Puzzle,4.2 and up,9699,4.5,23,0.99
বাংলা টিভি প্রো BD Bangla TV,"10,000+",Free,Everyone,Entertainment,4.0 and up,193,4.3,14,0
BEBONCOOL GAMEPAD V1.0,"100,000+",Free,Everyone,Arcade,4.0 and up,404,3.9,2.2,0
Meritrust CU Mobile Banking,"50,000+",Free,Everyone,Finance,5.0 and up,3661,4.7,14,0
Sya9a Maroc - FR,"5,000+",Free,Everyone,Education,4.1 and up,38,4.5,53,0
Smart Launcher 5,"10,000,000+",Free,Everyone,Personalization,Varies with device,512106,4.4,,0
Smart Launcher 5,"10,000,000+",Free,Everyone,Personalization,Varies with device,512106,4.4,,0
Wrestling Revolution 3D,"50,000,000+",Free,Teen,Sports,4.0 and up,989344,4.3,51,0
MYTO CZ,"5,000+",Free,Everyone,Maps & Navigation,4.1 and up,30,2.9,4.8,0
50 Healthy Slow Cooker Recipes,"10,000+",Free,Everyone 10+,Food & Drink,2.3.3 and up,196,4,9,0
ARK: Survival Evolved,"500,000+",Free,Teen,Adventure,7.0 and up,51523,3.8,36,0
Luxury Car Simulator,"1,000,000+",Free,Everyone,Simulation,2.3.3 and up,35989,3.9,46,0
Quran for All (Al-Huda Int.),"100,000+",Free,Everyone,Education,4.0 and up,6696,4.8,5.3,0
Fo Fo Fish,50+,Free,Everyone,Arcade,2.3 and up,5,3.4,21,0
FP Boss,1+,Free,Everyone,Finance,5.0 and up,1,,5.8,0
Crazy Bike attack Racing New: motorcycle racing,"5,000,000+",Free,Everyone,Racing,4.1 and up,20364,4.2,45,0
Hello Kitty Nail Salon,"50,000,000+",Free,Everyone,Casual;Pretend Play,4.1 and up,369378,4.2,24,0
Hello Kitty Nail Salon,"50,000,000+",Free,Everyone,Casual;Pretend Play,4.1 and up,369378,4.2,24,0
Co-op Connections,"1,000+",Free,Everyone,Shopping,4.1 and up,8,1.6,18,0
Couple - Relationship App,"1,000,000+",Free,Everyone,Social,2.3 and up,33249,4,8.4,0
Couple - Relationship App,"1,000,000+",Free,Everyone,Social,2.3 and up,33249,4,8.4,0
"BT Dating -Find your match, help cupid, be social","50,000+",Free,Mature 17+,Social,4.1 and up,158,4.1,26,0
Nursing Central,"10,000+",Free,Everyone,Medical,4.1 and up,168,4.3,5.8,0
Facebook,"1,000,000,000+",Free,Teen,Social,Varies with device,78158306,4.1,,0
Facebook,"1,000,000,000+",Free,Teen,Social,Varies with device,78158306,4.1,,0
Redbox,"10,000,000+",Free,Everyone,Entertainment,5.0 and up,115033,4.1,30,0
Neon-R (Red),100+,Paid,Everyone,Personalization,4.0.3 and up,25,4.7,41,0.99
Text Free: WiFi Calling App,"5,000,000+",Free,Everyone,Social,Varies with device,83488,4.2,,0
Text Free: WiFi Calling App,"5,000,000+",Free,Everyone,Social,Varies with device,83488,4.2,,0
Text Free: WiFi Calling App,"5,000,000+",Free,Everyone,Social,Varies with device,83488,4.2,,0
Garena Free Fire,"100,000,000+",Free,Teen,Action,4.0.3 and up,5476569,4.5,53,0
Garena Free Fire,"100,000,000+",Free,Teen,Action,4.0.3 and up,5476569,4.5,53,0
Garena Free Fire,"100,000,000+",Free,Teen,Action,4.0.3 and up,5476569,4.5,53,0
Garena Free Fire,"100,000,000+",Free,Teen,Action,4.0.3 and up,5476569,4.5,53,0
To Do List,"5,000,000+",Free,Everyone,Productivity,4.0 and up,253155,4.7,3.5,0
YAKALA AY,1+,Paid,Everyone,Arcade,4.1 and up,0,,14,0.99
Pixxy KWGT,"1,000+",Paid,Everyone,Personalization,5.0 and up,60,4.8,78,0.99
Guide to Nikon Df,10+,Paid,Everyone,Photography,4.0.3 and up,1,,0.663,29.99
Throw Knife,"100,000+",Free,Everyone,Simulation,4.1 and up,291,3.7,37,0
Kick Axe Bx,1+,Free,Everyone,Health & Fitness,4.0 and up,0,,9.3,0
Spanish English Translator,"10,000,000+",Free,Teen,Books & Reference,Varies with device,87919,4.2,,0
Spanish English Translator,"10,000,000+",Free,Teen,Books & Reference,Varies with device,87919,4.2,,0
DT Manager,500+,Free,Everyone,Productivity,2.3 and up,9,4,3.1,0
Anime et Manga Amino en Français,"50,000+",Free,Teen,Social,4.0.3 and up,3782,4.8,63,0
Driver Permit Test Prep DC DMV Driver's License Ed,"5,000+",Free,Everyone,Education,4.1 and up,78,4.7,11,0
X Construction,"100,000+",Paid,Everyone,Puzzle,2.3 and up,18612,4.5,8.5,1.49
Nova Launcher,"50,000,000+",Free,Everyone,Personalization,Varies with device,1121805,4.6,,0
Nova Launcher,"50,000,000+",Free,Everyone,Personalization,Varies with device,1121805,4.6,,0
Dr. Panda Town,"1,000,000+",Free,Everyone,Education;Pretend Play,Varies with device,36578,4,,0
Daily Horoscope,"10,000,000+",Free,Everyone,Lifestyle,Varies with device,407589,4.7,,0
Diary with lock,"10,000,000+",Free,Everyone,Lifestyle,4.1 and up,815280,4.6,4.4,0
Diary with lock,"10,000,000+",Free,Everyone,Lifestyle,4.1 and up,815280,4.6,4.4,0
Hotspot Shield Free VPN Proxy & Wi-Fi Security,"50,000,000+",Free,Everyone,Tools,4.1 and up,1116393,4.2,8.2,0
FK Zemun,10+,Free,Everyone,Sports,4.1 and up,3,,26,0
News.aw,10+,Free,Everyone,News & Magazines,2.2 and up,1,,1,0
Guns'n'Glory Premium,"100,000+",Paid,Everyone 10+,Strategy,2.3.3 and up,3570,4.4,21,2.99
Learn JavaScript,"1,000,000+",Free,Everyone,Education,4.0 and up,25183,4.6,5.4,0
BN PERKS™,100+,Free,Everyone,Lifestyle,4.0.3 and up,0,,15,0
Adivina el Emoji,"100,000+",Free,Everyone,Trivia,4.0.3 and up,2536,,32,0
CheckPoints 🏆 Rewards App,"1,000,000+",Free,Everyone,Shopping,4.3 and up,23187,4.1,25,0
BW-Joseki,"10,000+",Free,Everyone,Board,4.0.3 and up,705,4.7,1.8,0
eBoox: book reader fb2 epub zip,"1,000,000+",Free,Everyone,Books & Reference,3.0 and up,21336,4.7,23,0
British Columbia Tourist Places (Guide),100+,Free,Everyone,Travel & Local,4.1 and up,1,4,3,0
Ovia Parenting & Baby Development Tracker,"100,000+",Free,Everyone,Medical,4.3 and up,6185,4.7,38,0
Room Creator Interior Design,"1,000,000+",Free,Everyone,House & Home,2.3 and up,59660,3.9,72,0
Météociel,"500,000+",Free,Everyone,Weather,4.1 and up,29344,4.5,22,0
EZ game screen recorder with audio 1080P,"1,000+",Free,Everyone,Video Players & Editors,5.0 and up,40,4.1,3.9,0
Of the wall Arapaho bk,5+,Free,Everyone,Communication,4.1 and up,0,,12,0
Tubi TV - Free Movies & TV,"10,000,000+",Free,Teen,Entertainment,4.1 and up,296771,4.3,11,0
Tubi TV - Free Movies & TV,"10,000,000+",Free,Teen,Entertainment,4.1 and up,296771,4.3,11,0
Tubi TV - Free Movies & TV,"10,000,000+",Free,Teen,Entertainment,4.1 and up,296771,4.3,11,0
BR Ambedkar Biography & Quotes,"10,000+",Free,Everyone,Books & Reference,2.3 and up,156,4.6,2.1,0
AP Chemistry Prep: Practice Tests and Flashcards,"10,000+",Free,Everyone,Education,4.1 and up,55,4.7,5.4,0
Simple Gallery,"1,000,000+",Free,Everyone,Tools,4.1 and up,28030,4.5,9,0
"Zapya - File Transfer, Sharing","10,000,000+",Free,Teen,Tools,4.0.3 and up,387958,4.6,9,0
DW - Breaking World News,"1,000,000+",Free,Everyone 10+,News & Magazines,4.2 and up,17671,4.4,17,0
Barisal University App-BU Face,"1,000+",Free,Everyone,Education,4.0.3 and up,100,5,10,0
DS finder,"500,000+",Free,Everyone,Tools,5.0 and up,2596,4,32,0
"SayHi Chat, Meet New People","10,000,000+",Free,Mature 17+,Social,Varies with device,423138,4.2,,0
"SayHi Chat, Meet New People","10,000,000+",Free,Mature 17+,Social,Varies with device,423138,4.2,,0
"SayHi Chat, Meet New People","10,000,000+",Free,Mature 17+,Social,Varies with device,423138,4.2,,0
China Town Auto Theft 2,"50,000+",Free,Everyone 10+,Action,4.0.3 and up,364,4.1,67,0
BU HANGİ ŞARKI ? - 2018,100+,Free,Everyone,Trivia,4.0.3 and up,4,,28,0
Qatar Airways,"1,000,000+",Free,Everyone,Travel & Local,4.1 and up,11182,4.3,62,0
Animal Planet GO,"100,000+",Free,Teen,Entertainment,4.1 and up,2442,4.2,9.6,0
White Classic Petite Watch Theme for DW,500+,Free,Everyone,Lifestyle,4.0 and up,2,,3,0
Docs To Go™ Free Office Suite,"50,000,000+",Free,Everyone,Business,Varies with device,217730,4.1,,0
Docs To Go™ Free Office Suite,"50,000,000+",Free,Everyone,Business,Varies with device,217730,4.1,,0
AJ Tracey Music and Lyrics,5+,Free,Teen,Entertainment,4.0.3 and up,0,,2.7,0
Deaf Interpreter,"1,000+",Free,Everyone,Medical,3.0 and up,24,3.8,4.4,0
Natural recipes for your beauty,"100,000+",Free,Everyone,Beauty,4.1 and up,1150,4.7,9.8,0
EZ LED,"1,000+",Free,Everyone,Tools,4.3 and up,19,2.2,2.1,0
AccuWeather: Daily Forecast & Live Weather Reports,"50,000,000+",Free,Everyone,Weather,Varies with device,2052407,4.4,,0
AccuWeather: Daily Forecast & Live Weather Reports,"50,000,000+",Free,Everyone,Weather,Varies with device,2052407,4.4,,0
CL Strength,50+,Free,Everyone,Health & Fitness,4.1 and up,3,5,40,0
BM speed test,10+,Free,Everyone,Tools,4.4 and up,1,5,3.7,0
Offroad Car G,"5,000,000+",Free,Everyone,Simulation,2.3.3 and up,64884,4.3,37,0
BJ-DRONE,100+,Free,Everyone,Entertainment,4.0.3 and up,1,,23,0
AL.com: Alabama Football News,"10,000+",Free,Everyone 10+,Sports,4.1 and up,459,4.5,8,0
Coupons for Burger King,500+,Free,Teen,Food & Drink,5.0 and up,41,4.5,4,0
RetroArch,"1,000,000+",Free,Everyone,Action,2.3 and up,21423,3.8,84,0
BG Blurry HD Wallpapers,10+,Free,Everyone,Entertainment,4.0 and up,1,,5.1,0
Tech CU Card Manager,"1,000+",Free,Everyone,Finance,4.0 and up,2,1,7.2,0
Profile Pictures - Best DP Status,"50,000+",Free,Everyone,Entertainment,4.1 and up,131,4.3,5.4,0
Nose Doctor X: Booger Mania,"5,000,000+",Free,Everyone,Casual;Pretend Play,4.1 and up,37584,3.2,34,0
Monster High™,"5,000,000+",Free,Everyone,Casual;Pretend Play,4.1 and up,66661,4.1,22,0
Monster High™,"5,000,000+",Free,Everyone,Casual;Pretend Play,4.1 and up,66661,4.1,22,0
Run R Script - Online Statistical Data Analysis,"1,000+",Free,Everyone,Education,2.2 and up,8,3.9,6.2,0
BN DB1 App,50+,Free,Everyone,Productivity,4.0.3 and up,2,,34,0
Doomsday Preppers™,"1,000,000+",Free,Everyone,Strategy,4.0.3 and up,137167,4.2,52,0
KakaoTalk: Free Calls & Text,"100,000,000+",Free,Everyone,Communication,Varies with device,2546549,4.3,,0
KakaoTalk: Free Calls & Text,"100,000,000+",Free,Everyone,Communication,Varies with device,2546549,4.3,,0
KakaoTalk: Free Calls & Text,"100,000,000+",Free,Everyone,Communication,Varies with device,2546549,4.3,,0
Adguard Content Blocker,"1,000,000+",Free,Everyone,Tools,Varies with device,14491,4.1,4.3,0
EC Sampler,1+,Free,Everyone,Productivity,4.0.3 and up,0,,30,0
ES Audio Player ( Shortcut ),"100,000+",Free,Everyone,Video Players & Editors,2.2 and up,1236,4.2,0.033,0
BG TV Program,100+,Free,Everyone,Entertainment,4.1 and up,1,,2.8,0
Wallpapers FN Herstal FNP 9,1+,Free,Teen,Personalization,4.1 and up,0,,11,0
Who,"100,000,000+",Free,Teen,Communication,Varies with device,2451093,4.3,,0
Who,"100,000,000+",Free,Teen,Communication,Varies with device,2451093,4.3,,0
3D Holograms Joke,"5,000,000+",Free,Teen,Simulation,2.3 and up,31596,2.9,31,0
FH Dortmund FB4,"1,000+",Free,Everyone,Education,4.0.3 and up,40,,9.9,0
Chrome Dev,"5,000,000+",Free,Everyone,Communication,Varies with device,63576,4.4,,0
Chrome Dev,"5,000,000+",Free,Everyone,Communication,Varies with device,63576,4.4,,0
bp e-store,"1,000+",Free,Everyone,Books & Reference,4.0 and up,52,4.4,2.2,0
Al'Quran Bahasa Indonesia,"10,000,000+",Free,Everyone,Books & Reference,2.3 and up,361780,4.6,9.7,0
Bubble Shooter 2,"5,000,000+",Free,Everyone,Arcade,4.1 and up,23005,4.3,,0
Bubble Shooter 2,"5,000,000+",Free,Everyone,Arcade,4.1 and up,23005,4.3,,0
Virtual Brain Surgery Simulator : Kid ER Emergency,"5,000+",Free,Teen,Educational,4.0 and up,20,3.8,55,0
realcommercial.com.au,"50,000+",Free,Everyone,Business,5.0 and up,128,4.4,6.7,0
EZ-Placard - Free Placard Calculator,"1,000+",Free,Everyone,Tools,4.1 and up,7,2.9,2.4,0
FA Player Essentials,100+,Free,Everyone,Sports,4.0.3 and up,7,5,68,0
Five Nights at Flappy's,"10,000+",Free,Everyone,Arcade,2.3.3 and up,4041,4.7,24,0
eP Scanner,100+,Free,Everyone,Events,4.4 and up,0,,20,0
Capitec Remote Banking,"1,000,000+",Free,Everyone,Finance,Varies with device,20672,4.3,,0
JailBase - Arrests + Mugshots,"1,000,000+",Free,Everyone 10+,News & Magazines,4.1 and up,17240,4,,0
Space Coast CU Mobile,"100,000+",Free,Everyone,Finance,2.3 and up,922,3.8,2.1,0
AAFP,"10,000+",Free,Everyone,Medical,5.0 and up,63,3.8,24,0
AAFP,"10,000+",Free,Everyone,Medical,5.0 and up,63,3.8,24,0
Unstoppaball DX,50+,Paid,Everyone,Puzzle,2.0.1 and up,5,4.2,40,1.49
Adventure Quest World Mobile Quiz,500+,Free,Everyone,Puzzle,4.0.3 and up,28,4.6,26,0
Ready4 SAT (Prep4 SAT),"100,000+",Free,Everyone,Education,4.4 and up,13612,4.6,48,0
E2CR CL,10+,Free,Everyone,Lifestyle,4.1 and up,0,,25,0
OpenVPN Connect – Fast & Safe SSL VPN Client,"10,000,000+",Free,Everyone,Tools,4.1 and up,154578,4.2,14,0
Step Counter - Pedometer Free & Calorie Counter,"10,000,000+",Free,Everyone,Health & Fitness,4.1 and up,117925,4.7,7,0
FBReader: Favorite Book Reader,"10,000,000+",Free,Everyone,Books & Reference,Varies with device,203130,4.5,,0
► MultiCraft ― Free Miner! 👍,"50,000,000+",Free,Everyone 10+,Adventure,4.1 and up,1305050,4.3,,0
wetter.com - Weather and Radar,"10,000,000+",Free,Everyone,Weather,Varies with device,189310,4.2,38,0
wetter.com - Weather and Radar,"10,000,000+",Free,Everyone,Weather,Varies with device,189310,4.2,38,0
La Fe de Jesus,"1,000+",Free,Everyone,Books & Reference,3.0 and up,8,,0.658,0
Telemundo Deportes - En Vivo,"1,000,000+",Free,Everyone,Sports,4.1 and up,36255,4.5,25,0
FD Fitness,50+,Free,Everyone,Health & Fitness,4.0.3 and up,3,,21,0
Adobe Illustrator Draw,"5,000,000+",Free,Everyone,Photography,5.0 and up,65766,4.4,,0
tökr,"1,000+",Free,Everyone,Medical,4.1 and up,17,4.6,14,0
Sweet Camera,"5,000,000+",Free,Everyone,Photography,4.0.3 and up,71898,4.4,23,0
BC Navigator,"1,000+",Free,Everyone,Education,4.0.3 and up,21,4.4,32,0
Sway Medical,100+,Free,Everyone,Medical,5.0 and up,3,5,22,0
Sway Medical,100+,Free,Everyone,Medical,5.0 and up,3,5,22,0
Extreme Car Driving Simulator,"100,000,000+",Free,Everyone,Racing,4.0 and up,2251012,4.3,52,0
EB Annual Meetings,"1,000+",Free,Everyone,Books & Reference,4.0 and up,11,3.5,15,0
HD Mickey Minnie Wallpapers,"50,000+",Free,Everyone,Art & Design,4.1 and up,118,4.7,23,0
Zocdoc: Find Doctors & Book Appointments,"500,000+",Free,Everyone,Medical,4.3 and up,6099,4.5,38,0
EB Events,"10,000+",Free,Everyone,Travel & Local,4.0 and up,97,3.3,16,0
CU of Colorado Mobile Banking,"10,000+",Free,Everyone,Finance,4.1 and up,347,4,25,0
Command & Conquer: Rivals,0,,Everyone 10+,Strategy,Varies with device,0,,,0
X Launcher: With OS11 Style Theme & Control Center,"100,000+",Free,Everyone,Art & Design,4.1 and up,5754,4.7,4.4,0
love,"1,000,000+",Free,Everyone,Photography,4.0.3 and up,42677,4.3,22,0
Wherever BQ,50+,Free,Teen,Travel & Local,4.0.3 and up,7,,18,0
Find My Friends,"10,000,000+",Free,Everyone,Social,4.4 and up,305367,4.2,46,0
FreedomPop Messaging Phone/SIM,"500,000+",Free,Everyone,Communication,4.1 and up,9894,3.6,39,0
Freecell CY,"50,000+",Free,Everyone,Card,1.6 and up,387,4,1.1,0
Monster Truck Driver & Racing,"1,000,000+",Free,Everyone,Education;Action & Adventure,2.3 and up,748,4.4,51,0
Monster Truck Driver & Racing,"1,000,000+",Free,Everyone,Education;Action & Adventure,2.3 and up,748,4.4,51,0
Photo Lock App - Hide Pictures & Videos,"5,000,000+",Free,Everyone,Personalization,4.0 and up,29203,4.5,3.3,0
"Mobizen Screen Recorder for LG - Record, Capture","1,000,000+",Free,Everyone,Video Players & Editors,4.4 and up,58820,4.5,37,0
"KVAD Camera +: Selfie, Photo Filter, Grids","1,000,000+",Free,Everyone,Photography,4.0 and up,23440,4.1,30,0
Seen,"1,000,000+",Free,Teen,Simulation,4.1 and up,118285,4.5,22,0
Motorola Camera,"50,000,000+",Free,Everyone,Photography,Varies with device,219745,3.6,,0
Placement Tips for BE (CE/IT),500+,Free,Everyone,Education,4.0 and up,7,4.4,6.3,0
Shopkins World!,"10,000,000+",Free,Everyone,Arcade;Action & Adventure,4.1 and up,169609,4.3,34,0
Shopkins World!,"10,000,000+",Free,Everyone,Arcade;Action & Adventure,4.1 and up,169609,4.3,34,0
EY TaxLaw NL,100+,Free,Everyone,Business,4.1 and up,9,,3.3,0
Wondershare PowerCam,"10,000,000+",Free,Everyone,Photography,2.3 and up,329160,4.2,27,0
EURES - Your Job in Europe,"50,000+",Free,Everyone,Business,2.3.3 and up,358,2.7,2,0
"Apartment List: Housing, Apt, and Property Rentals","1,000,000+",Free,Everyone,House & Home,5.0 and up,8481,4.5,7.5,0
"Apartment List: Housing, Apt, and Property Rentals","1,000,000+",Free,Everyone,House & Home,5.0 and up,8481,4.5,7.5,0
Paint By Number,"500,000+",Free,Everyone,Casual,3.0 and up,807,3.5,4.6,0
Learn to Speak English,"1,000,000+",Free,Everyone,Education,4.0 and up,33646,4.4,7,0
CW BLE Peripheral Simulator,500+,Free,Everyone,Communication,4.4 and up,2,,1.5,0
boattheory.ch Full 2018,"1,000+",Paid,Everyone,Education,4.2 and up,54,4.7,50,19.4
Devise Dz,"1,000+",Free,Everyone,Finance,4.0 and up,26,4,3.6,0
C4droid - C/C++ compiler & IDE,"50,000+",Paid,Everyone,Education,Varies with device,2890,4.7,,2.99
Offroad G-Class 2018,"500,000+",Free,Everyone,Simulation,4.1 and up,7715,4.4,28,0
Thomas & Friends: Delivery,"1,000,000+",Free,Everyone,Casual;Action & Adventure,2.3 and up,28737,4.2,17,0
HD Themes Toyota Cruiser70,100+,Free,Teen,Personalization,2.3.3 and up,0,,15,0
Nature Sounds,"1,000,000+",Free,Everyone,Lifestyle,4.0.3 and up,28588,4.8,24,0
HAL-9000 - FN Theme,"10,000+",Free,Everyone,Personalization,2.2 and up,159,3.5,0.257,0
Dete.bg,100+,Free,Everyone,News & Magazines,4.1 and up,0,,29,0
Dz kayas,1+,Paid,Everyone,Finance,4.2 and up,0,,14,28.99
BBW Dating & Plus Size Chat,"1,000,000+",Free,Mature 17+,Dating,4.1 and up,12632,4.4,29,0
BBW Dating & Plus Size Chat,"1,000,000+",Free,Mature 17+,Dating,4.1 and up,12632,4.4,29,0
BBW Dating & Plus Size Chat,"1,000,000+",Free,Mature 17+,Dating,4.1 and up,12632,4.4,29,0
Dr. Rocket,"1,000,000+",Free,Everyone,Arcade,4.1 and up,42182,4,3.4,0
EF Smart English for Phone,"10,000+",Free,Everyone,Education,4.4 and up,208,3.5,13,0
Toca Builders,"100,000+",Paid,Everyone,Education;Creativity,Varies with device,3328,4.2,,3.99
Adobe Fill & Sign: Easy PDF Form Filler,"1,000,000+",Free,Everyone,Productivity,5.0 and up,11402,4.3,5.3,0
YouCamp EU,"1,000+",Paid,Everyone,Travel & Local,2.2 and up,39,3.4,32,2.56
Mad Day - Truck Distance Game,"5,000,000+",Free,Everyone,Action,4.0.3 and up,29270,4.3,44,0
Wuwu & Co.,100+,Paid,Everyone,Books & Reference;Creativity,4.1 and up,9,,77,2.99
Skiplagged — Exclusive Flights & Hotels,"1,000,000+",Free,Everyone,Travel & Local,Varies with device,10035,4.6,,0
Wallpapers AK 12,10+,Free,Teen,Personalization,4.1 and up,0,,11,0
CSHS BX,100+,Free,Everyone,Education,4.4 and up,0,,18,0
CJ Apps,10+,Free,Everyone,Business,4.1 and up,0,,24,0
Ain Arabic Kids Alif Ba ta,0+,Paid,Everyone,Education,3.0 and up,0,,33,2.99
BJ Bridge Standard American 2018,"1,000+",Free,Everyone,Card,4.0 and up,1,1,4.9,0
"IndiaMART: Search Products, Buy, Sell & Trade","5,000,000+",Free,Everyone,Business,4.0 and up,207372,4.5,11,0
BU Syllabus,"1,000+",Free,Everyone,Education,4.0.3 and up,38,4.5,6.5,0
DC Super Hero Girls™,"5,000,000+",Free,Everyone,Action;Action & Adventure,4.0 and up,43055,4.3,95,0
DC Super Hero Girls™,"5,000,000+",Free,Everyone,Action;Action & Adventure,4.0 and up,43055,4.3,95,0
DC Super Hero Girls™,"5,000,000+",Free,Everyone,Action;Action & Adventure,4.0 and up,43055,4.3,95,0
DC Super Hero Girls™,"5,000,000+",Free,Everyone,Action;Action & Adventure,4.0 and up,43055,4.3,95,0
BAMMS for BM 1Park,50+,Free,Everyone,Productivity,4.1 and up,7,,10,0
Dubsmash,"100,000,000+",Free,Teen,Video Players & Editors,4.1 and up,1971777,4.2,29,0
Ai File Viewer,"10,000+",Free,Everyone,Tools,Varies with device,66,4,,0
Inbox.eu,"10,000+",Free,Everyone,Communication,4.3 and up,98,3.7,9.7,0
CE HPJM 69,50+,Free,Everyone,News & Magazines,4.1 and up,2,,22,0
LinkedIn Learning: Online Courses to Learn Skills,"1,000,000+",Free,Everyone,Education,4.4 and up,7973,4.6,18,0
Simple Blood Pressure log,"1,000+",Free,Everyone,Medical,4.4 and up,31,3.9,10,0
Geometry Dash SubZero,"10,000,000+",Free,Everyone,Arcade,4.0 and up,260527,4.6,49,0
signály.cz,"1,000+",Free,Everyone,Social,2.2 and up,38,,0.881,0
EF Events,100+,Free,Teen,Events,Varies with device,7,5,4.4,0
DEER HUNTER 2018,"10,000,000+",Free,Teen,Action,3.0 and up,955614,4.3,82,0
DEER HUNTER 2018,"10,000,000+",Free,Teen,Action,3.0 and up,955614,4.3,82,0
Google Assistant,"10,000,000+",Free,Everyone,Productivity,5.0 and up,58675,4.2,1.3,0
AAS-IN-ASIA 2018,100+,Free,Everyone,Events,4.1 and up,3,,11,0
EY EMEIA Diversity & Inclusion,500+,Free,Everyone,Business,4.4 and up,4,,12,0
Talking Ben the Dog,"100,000,000+",Free,Everyone,Entertainment,4.1 and up,1633682,4.3,57,0
Talking Ben the Dog,"100,000,000+",Free,Everyone,Entertainment,4.1 and up,1633682,4.3,57,0
Golden Dictionary (FR-AR),"500,000+",Free,Everyone,Books & Reference,4.2 and up,5775,4.2,4.9,0
Morse Machine for Ham Radio,"5,000+",Paid,Everyone,Communication,2.0 and up,341,4.8,9.6,0.99
Garden Fever - Free!,"1,000,000+",Free,Everyone,Puzzle,2.3 and up,13253,3.9,12,0
Despegar.com Hotels and Flights,"10,000,000+",Free,Everyone,Travel & Local,4.1 and up,150932,4.4,27,0
Spine- The dating app,500+,Free,Teen,Dating,4.0.3 and up,5,5,9.3,0
Android P Launcher 9.0 launcher,"10,000+",Free,Everyone,Tools,5.0 and up,164,4,2.3,0
CP Calculator,"10,000+",Free,Everyone,Entertainment,4.1 and up,187,4.1,2.9,0
Black Classic DW Watch Theme,100+,Free,Everyone,Personalization,4.0 and up,1,,2.9,0
FD CANNECT,1+,Free,Everyone,Tools,8.0 and up,1,,75,0
AE Solitaire,"50,000+",Free,Everyone,Card,4.0.3 and up,1776,4.3,26,0
Phoenix - Facebook & Messenger,"100,000+",Free,Teen,Social,5.0 and up,9606,4.3,3.4,0
Jumia online shopping,"10,000,000+",Free,Teen,Shopping,4.4 and up,162655,4.3,8.1,0
FL Drone 2,"5,000+",Free,Everyone,Photography,2.2 and up,41,3.3,7.8,0
Mukwonago AH,100+,Free,Everyone,Medical,4.0.3 and up,1,,29,0
Axe Throw: Flip Champ Axes Champion Throwing Games,50+,Free,Everyone,Arcade,4.0 and up,1,,13,0
Beauty Tips - Beauty Tips in Sinhala,"50,000+",Free,Everyone,Beauty,4.0.3 and up,75,4.4,4.2,0
CB Frequencies FREE!,"100,000+",Free,Everyone,Tools,4.0.3 and up,364,3.1,2.3,0
BS Play,"5,000+",Free,Everyone,Education,4.0 and up,56,3.7,1.5,0
Resume PDF Maker / CV Builder,"500,000+",Free,Everyone,Business,4.4 and up,2147,4.4,2.2,0
University of Florida,"10,000+",Free,Everyone,Education,4.1 and up,168,4,7.6,0
DHV accountancy BV,10+,Free,Everyone,Business,4.0 and up,0,,10,0
Step Counter - Calorie Counter,"500,000+",Free,Everyone,Health & Fitness,4.4 and up,1577,4,2.2,0
The Wall Street Journal: Business & Market News,"1,000,000+",Free,Everyone 10+,News & Magazines,4.1 and up,40975,4.1,36,0
The Wall Street Journal: Business & Market News,"1,000,000+",Free,Everyone 10+,News & Magazines,4.1 and up,40975,4.1,36,0
Al-Moazin Lite (Prayer Times),"10,000,000+",Free,Everyone,Lifestyle,Varies with device,284670,4.6,,0
Bu Hangi Oyun ?,50+,Free,Everyone,Word,4.0.3 and up,2,,26,0
Elemental Galaxy Dx - Match3,"10,000+",Free,Everyone,Puzzle,2.2 and up,127,4,14,0
Photo Designer - Write your name with shapes,"500,000+",Free,Everyone,Art & Design,4.1 and up,3632,4.7,5.5,0
JackThreads: Men's Shopping,"1,000,000+",Free,Teen,Shopping,4.0.3 and up,13085,4,2.7,0
JackThreads: Men's Shopping,"1,000,000+",Free,Teen,Shopping,4.0.3 and up,13085,4,2.7,0
JackThreads: Men's Shopping,"1,000,000+",Free,Teen,Shopping,4.0.3 and up,13085,4,2.7,0
English Hindi Dictionary,"10,000,000+",Free,Everyone,Books & Reference,Varies with device,384368,4.4,,0
"Borneo Bible, BM Bible","10,000+",Free,Everyone,Books & Reference,4.0 and up,659,4.9,5,0
X Home Bar - Home Bar Gesture Pro,"10,000+",Paid,Everyone,Tools,4.3 and up,88,4,2,1.99
BD Field Force,"1,000+",Free,Everyone,Productivity,4.3 and up,41,4.2,15,0
To Do Reminder with Alarm,"1,000,000+",Free,Everyone,Productivity,4.0 and up,72161,4.4,4.9,0
