title,action,comedy,drama,runtime,metascore,rating
Lawless,0,0,1,116,58,7.3
Unfriended,0,0,1,83,59,5.6
American Reunion,0,1,0,113,49,6.7
The Pursuit of Happyness,0,0,1,117,64,8
Relatos salvajes,0,1,1,122,77,8.1
The Ridiculous 6,0,1,0,119,18,4.8
Frantz,0,0,1,113,73,7.5
Viral,0,0,1,85,72,5.5
Gran Torino,0,0,1,116,,8.2
Burnt,0,1,1,101,42,6.6
Tall Men,0,0,0,133,57,3.2
Sleeping Beauty,0,0,1,101,,5.3
Vampire Academy,1,1,0,104,30,5.6
Sweeney Todd: The Demon Barber of Fleet Street,0,0,1,116,83,7.4
Solace,0,0,1,101,36,6.4
Insidious,0,0,0,103,52,6.8
Popstar: Never Stop Never Stopping,0,1,0,87,68,6.7
The Levelling,0,0,1,83,82,6.4
Public Enemies,0,0,1,140,70,7
Boyhood,0,0,1,165,100,7.9
Teenage Mutant Ninja Turtles,1,1,0,101,31,5.9
Eastern Promises,0,0,1,100,82,7.7
The Daughter,0,0,1,96,62,6.7
Pineapple Express,1,1,0,111,64,7
The First Time,0,1,1,95,55,6.9
Gone Baby Gone,0,0,1,114,72,7.7
The Heat,1,1,0,117,60,6.6
L'avenir,0,0,1,102,88,7.1
Anna Karenina,0,0,1,129,63,6.6
Regression,0,0,1,106,32,5.7
Ted 2,0,1,0,115,48,6.3
Pain & Gain,0,1,1,129,45,6.5
Blood Diamond,0,0,1,143,64,8
Devil's Knot,0,0,1,114,42,6.1
Child 44,0,0,1,137,41,6.5
The Hurt Locker,0,0,1,131,94,7.6
Green Lantern,1,0,0,114,39,5.6
War on Everyone,1,1,0,98,50,5.9
The Mist,0,0,0,126,58,7.2
Escape Plan,1,0,0,115,49,6.7
"Love, Rosie",0,1,0,102,44,7.2
The DUFF,0,1,0,101,56,6.5
The Age of Shadows,1,0,1,140,78,7.2
The Hunger Games: Mockingjay - Part 1,1,0,0,123,64,6.7
We Need to Talk About Kevin,0,0,1,112,68,7.5
Love & Friendship,0,1,1,90,87,6.5
The Mortal Instruments: City of Bones,1,0,0,130,33,5.9
Seven Pounds,0,0,1,123,36,7.7
The King's Speech,0,0,1,118,88,8
Hunger,0,0,1,96,82,7.6
Jumper,1,0,0,88,35,6.1
Toy Story 3,0,1,0,103,92,8.3
Tinker Tailor Soldier Spy,0,0,1,122,85,7.1
Resident Evil: Retribution,1,0,0,96,39,5.4
Dear Zindagi,0,0,1,151,56,7.8
Genius,0,0,1,104,,6.5
Pompeii,1,0,1,105,39,5.5
Life of Pi,0,0,1,127,79,7.9
Hachi: A Dog's Tale,0,0,1,93,61,8.1
10 Years,0,1,1,100,,6.1
I Origins,0,0,1,106,57,7.3
Live Free or Die Hard,1,0,0,128,69,7.2
The Matchbreaker,0,1,0,94,44,5.5
Funny Games,0,0,1,111,,6.5
Ted,0,1,0,106,62,7
RED,1,1,0,111,60,7.1
Australia,0,0,1,165,53,6.6
Faster,1,0,1,98,44,6.5
The Neighbor,0,0,0,87,60,5.8
The Adjustment Bureau,0,0,0,106,,7.1
The Hollars,0,1,1,88,53,6.5
The Judge,0,0,1,141,48,7.4
Closed Circuit,0,0,1,96,50,6.2
Transformers: Revenge of the Fallen,1,0,0,150,35,6
La tortue rouge,0,0,0,80,86,7.6
The Book of Life,0,1,0,95,67,7.3
Incendies,0,0,1,131,80,8.2
The Heartbreak Kid,0,1,0,116,46,5.8
Happy Feet,0,1,0,108,77,6.5
Entourage,0,1,0,104,38,6.6
The Strangers,0,0,0,86,47,6.2
Noah,1,0,1,138,68,5.8
Neighbors,0,1,0,97,68,6.4
Nymphomaniac: Vol. II,0,0,1,123,60,6.7
Wild,0,0,1,115,76,7.1
Grown Ups,0,1,0,102,30,6
Blair Witch,0,0,0,89,47,5.1
The Karate Kid,1,0,1,140,61,6.2
Dark Shadows,0,1,0,113,55,6.2
Friends with Benefits,0,1,0,109,63,6.6
The Illusionist,0,0,1,110,68,7.6
The A-Team,1,1,0,117,47,6.8
The Guest,0,0,0,100,76,6.7
The Internship,0,1,0,119,42,6.3
Paul,0,1,0,104,57,7
This Beautiful Fantastic,0,1,1,100,51,6.9
The Da Vinci Code,0,0,0,149,46,6.6
Mr. Church,0,1,1,104,37,7.7
Hugo,0,0,1,126,83,7.5
The Blackcoat's Daughter,0,0,0,93,68,5.6
Body of Lies,1,0,1,128,57,7.1
Knight of Cups,0,0,1,118,53,5.7
The Mummy: Tomb of the Dragon Emperor,1,0,0,112,31,5.2
The Boss,0,1,0,99,40,5.4
Hands of Stone,1,0,1,111,54,6.6
El secreto de sus ojos,0,0,1,129,80,8.2
True Grit,0,0,1,110,80,7.6
We Are Your Friends,0,0,1,96,46,6.2
A Million Ways to Die in the West,0,1,0,116,44,6.1
Only for One Night,0,0,0,86,60,4.6
Rules Don't Apply,0,1,1,127,,5.7
Ouija: Origin of Evil,0,0,0,99,65,6.1
Percy Jackson: Sea of Monsters,0,0,0,106,39,5.9
Fracture,0,0,1,113,68,7.2
Oculus,0,0,0,104,61,6.5
In Bruges,0,1,1,107,67,7.9
This Means War,1,1,0,103,31,6.3
Lída Baarová,0,0,1,106,64,5
The Road,0,0,1,111,,7.3
Lavender,0,0,1,92,46,5.2
Deuces,0,0,1,87,36,6.6
Conan the Barbarian,1,0,0,113,,5.2
The Fighter,1,0,1,116,79,7.8
August Rush,0,0,1,114,38,7.5
Chef,0,1,1,114,68,7.3
Eye in the Sky,0,0,1,102,73,7.3
Eagle Eye,1,0,0,118,43,6.6
The Purge,0,0,0,85,41,5.7
PK,0,1,1,153,51,8.2
Ender's Game,1,0,0,114,,6.7
Indiana Jones and the Kingdom of the Crystal Skull,1,0,0,122,65,6.2
Paper Towns,0,0,1,109,56,6.3
High-Rise,0,0,1,119,65,5.7
Quantum of Solace,1,0,0,106,58,6.6
The Assignment,1,0,0,95,34,4.5
How to Train Your Dragon,1,0,0,98,74,8.1
Lady in the Water,0,0,1,110,36,5.6
The Fountain,0,0,1,96,51,7.3
Cars 2,0,1,0,106,57,6.2
31,0,0,0,102,35,5.1
Final Girl,1,0,0,90,56,4.7
Chalk It Up,0,1,0,90,,4.8
The Man Who Knew Infinity,0,0,1,108,,7.2
Unknown,1,0,0,113,56,6.9
Self/less,1,0,0,117,34,6.5
Mr. Brooks,0,0,1,120,45,7.3
Tramps,0,1,0,82,77,6.5
Before We Go,0,1,1,95,31,6.9
Captain Phillips,0,0,1,134,83,7.8
The Secret Scripture,0,0,1,108,37,6.8
Max Steel,1,0,0,92,22,4.6
Hotel Transylvania 2,0,1,0,89,44,6.7
Hancock,1,0,1,92,49,6.4
Sisters,0,1,0,118,58,6
The Family,0,1,0,111,42,6.3
Zack and Miri Make a Porno,0,1,0,101,56,6.6
Ma vie de Courgette,0,1,1,66,85,7.8
Man on a Ledge,1,0,0,102,40,6.6
No Strings Attached,0,1,0,108,50,6.2
Rescue Dawn,0,0,1,120,77,7.3
Despicable Me 2,0,1,0,98,62,7.4
A Walk Among the Tombstones,0,0,1,114,57,6.5
The World's End,1,1,0,109,81,7
Yoga Hosers,0,1,0,88,23,4.3
Seven Psychopaths,0,1,0,110,66,7.2
Beowulf,1,0,0,115,59,6.2
Jack Ryan: Shadow Recruit,1,0,1,105,57,6.2
1408,0,0,0,104,64,6.8
The Gambler,0,0,1,111,55,6
Prince of Persia: The Sands of Time,1,0,0,116,50,6.6
The Spectacular Now,0,1,1,95,82,7.1
A United Kingdom,0,0,1,111,65,6.8
USS Indianapolis: Men of Courage,1,0,1,128,30,5.2
Turbo Kid,1,1,0,93,60,6.7
Mama,0,0,0,100,57,6.2
Orphan,0,0,0,123,42,7
To Rome with Love,0,1,0,112,54,6.3
Fantastic Mr. Fox,0,1,0,87,83,7.8
Inside Man,0,0,1,129,76,7.6
I.T.,0,0,1,95,27,5.4
127 Hours,0,0,1,94,82,7.6
Annabelle,0,0,0,99,37,5.4
Wolves at the Door,0,0,0,73,63,4.6
Suite Française,0,0,1,107,,6.9
The Imaginarium of Doctor Parnassus,0,0,0,123,65,6.8
G.I. Joe: The Rise of Cobra,1,0,0,118,32,5.8
Christine,0,0,1,119,72,7
Man Down,0,0,1,90,27,5.8
Crawlspace,0,0,0,88,25,5.3
Shut In,0,0,1,91,,4.6
The Warriors Gate,1,0,0,108,77,5.3
Grindhouse,1,0,0,191,,7.6
Disaster Movie,0,1,0,87,15,1.9
Rocky Balboa,0,0,1,102,63,7.2
Diary of a Wimpy Kid: Dog Days,0,1,0,94,54,6.4
Jane Eyre,0,0,1,120,76,7.4
Fool's Gold,1,1,0,112,29,5.7
The Dictator,0,1,0,83,58,6.4
The Loft,0,0,0,108,24,6.3
Bacalaureat,0,0,1,128,84,7.5
You Don't Mess with the Zohan,1,1,0,113,54,5.5
Exposed,0,0,1,102,23,4.2
Maudie,0,0,1,115,60,7.8
Horrible Bosses 2,0,1,0,108,40,6.3
A Bigger Splash,0,0,1,125,74,6.4
Melancholia,0,0,1,135,80,7.1
The Princess and the Frog,0,1,0,97,73,7.1
Unstoppable,1,0,0,98,69,6.8
Flight,0,0,1,138,76,7.3
Home,0,1,0,94,55,6.7
La migliore offerta,0,0,1,131,49,7.8
Mean Dreams,0,0,0,108,64,6.3
42,0,0,1,128,62,7.5
21,0,0,1,123,48,6.8
Begin Again,0,0,1,104,62,7.4
Out of the Furnace,0,0,1,116,63,6.8
Vicky Cristina Barcelona,0,0,1,96,70,7.1
Kung Fu Panda,1,0,0,92,73,7.6
Barbershop: The Next Cut,0,1,1,111,67,5.9
Terminator Salvation,1,0,1,115,49,6.6
Freedom Writers,0,0,1,123,64,7.5
The Hills Have Eyes,0,0,0,107,52,6.4
Changeling,0,0,1,141,63,7.8
Remember Me,0,0,1,113,40,7.2
Koe no katachi,0,0,1,129,80,8.4
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",0,1,0,81,54,6.2
Locke,0,0,1,85,81,7.1
The 9th Life of Louis Drax,0,0,0,108,41,6.3
Horns,0,0,1,120,46,6.5
Indignation,0,0,1,110,78,6.9
The Stanford Prison Experiment,0,0,1,122,67,6.9
Diary of a Wimpy Kid: Rodrick Rules,0,1,0,99,51,6.6
Mission: Impossible III,1,0,0,126,66,6.9
En man som heter Ove,0,1,1,116,70,7.7
Dragonball Evolution,1,0,0,85,45,2.7
Red Dawn,1,0,0,93,31,5.4
One Day,0,0,1,107,48,7
Life as We Know It,0,1,1,114,39,6.6
28 Weeks Later,0,0,1,100,78,7
Warm Bodies,0,1,0,98,59,6.9
Blue Jasmine,0,0,1,98,78,7.3
G.I. Joe: Retaliation,1,0,0,110,41,5.8
Wrath of the Titans,1,0,0,99,37,5.8
Shin Gojira,1,0,1,120,68,6.9
Saving Mr. Banks,0,1,1,125,65,7.5
Transcendence,0,0,1,119,42,6.3
Rio,0,1,0,96,63,6.9
Equals,0,0,1,101,43,6.1
Babel,0,0,1,143,69,7.5
The Tree of Life,0,0,1,139,85,6.8
The Lucky One,0,0,1,101,39,6.5
Piranha 3D,0,1,0,88,53,5.5
50/50,0,1,1,100,72,7.7
The Intent,0,0,1,104,59,3.5
This Is 40,0,1,0,134,,6.2
Real Steel,1,0,1,127,56,7.1
Sex and the City,0,1,1,145,53,5.5
Rambo,1,0,0,92,46,7.1
Planet Terror,1,1,0,105,55,7.1
Concussion,0,0,1,123,,7.1
The Fall,0,1,1,117,64,7.9
The Ugly Truth,0,1,0,96,28,6.5
Bride Wars,0,1,0,89,24,5.5
Sleeping with Other People,0,1,1,101,64,6.5
Snakes on a Plane,1,0,0,105,58,5.6
What If,0,1,0,98,59,6.8
How to Train Your Dragon 2,1,0,0,102,76,7.9
RoboCop,1,0,0,117,52,6.2
In Dubious Battle,0,0,1,110,43,6.2
"Hello, My Name Is Doris",0,1,1,95,63,6.7
Ocean's Thirteen,0,0,0,122,62,6.9
Slither,0,1,0,95,69,6.5
Contagion,0,0,1,106,70,6.6
Il racconto dei racconti - Tale of Tales,0,0,1,133,72,6.4
I Am the Pretty Thing That Lives in the House,0,0,0,87,68,4.7
Bridge to Terabithia,0,0,1,96,74,7.2
Coherence,0,0,0,89,65,7.2
Notorious,0,0,1,122,60,6.7
Goksung,0,0,1,156,81,7.5
The Expendables 2,1,0,0,103,51,6.6
The Girl Next Door,0,0,1,91,29,6.7
Perfume: The Story of a Murderer,0,0,1,147,56,7.5
The Golden Compass,0,0,0,113,51,6.1
Centurion,1,0,1,97,62,6.4
Scouts Guide to the Zombie Apocalypse,1,1,0,93,32,6.3
17 Again,0,1,1,102,48,6.4
No Escape,1,0,0,103,38,6.8
Superman Returns,1,0,0,154,72,6.1
The Twilight Saga: Breaking Dawn - Part 1,0,0,1,117,45,4.9
Precious,0,0,1,110,79,7.3
The Sea of Trees,0,0,1,110,23,5.9
Good Kids,0,1,0,86,86,6.1
The Master,0,0,1,144,,7.1
Footloose,0,1,1,113,58,5.9
If I Stay,0,0,1,107,46,6.8
The Ticket,0,0,1,97,52,5.4
Detour,0,0,0,97,46,6.3
The Love Witch,0,1,0,120,82,6.2
Talladega Nights: The Ballad of Ricky Bobby,1,1,0,108,66,6.6
The Human Centipede (First Sequence),0,0,0,92,33,4.4
Super,0,1,1,96,50,6.8
The Siege of Jadotville,1,0,1,108,83,7.3
Up in the Air,0,0,1,109,,7.4
The Midnight Meat Train,0,0,0,98,58,6.1
The Twilight Saga: Eclipse,0,0,1,124,58,4.9
Transpecos,0,0,0,86,73,5.8
What's Your Number?,0,1,0,106,35,6.1
Riddick,1,0,0,119,49,6.4
Triangle,0,0,0,99,66,6.9
The Butler,0,0,1,132,,7.2
King Cobra,0,0,1,91,48,5.6
After Earth,1,0,0,100,33,4.9
Kicks,0,0,0,80,69,6.1
Me and Earl and the Dying Girl,0,1,1,105,74,7.8
The Descendants,0,1,1,115,84,7.3
Sex and the City 2,0,1,1,146,27,4.3
The Kings of Summer,0,1,1,95,61,7.2
Death Race,1,0,0,105,43,6.4
That Awkward Moment,0,1,0,94,36,6.2
Legion,1,0,0,100,32,5.2
End of Watch,0,0,1,109,68,7.7
3 Days to Kill,1,0,1,117,40,6.2
Lucky Number Slevin,0,0,1,110,53,7.8
Trance,0,0,1,101,61,7
Into the Forest,0,0,1,101,59,5.9
The Other Boleyn Girl,0,0,1,115,50,6.7
I Spit on Your Grave,0,0,0,108,27,6.3
Custody,0,0,1,104,72,6.9
Inland Empire,0,0,1,180,,7
L'odyssée,0,0,0,122,70,6.7
The Walk,0,0,0,123,,7.3
Wrecker,1,0,0,83,37,3.5
The Lone Ranger,1,0,0,150,,6.5
Texas Chainsaw 3D,0,0,0,92,62,4.8
Disturbia,0,0,1,105,,6.9
Rock of Ages,0,1,1,123,47,5.9
Scream 4,0,0,0,111,52,6.2
Queen of Katwe,0,0,1,124,73,7.4
My Big Fat Greek Wedding 2,0,1,0,94,37,6
Dark Places,0,0,1,113,39,6.2
Amateur Night,0,1,0,92,38,5
It's Only the End of the World,0,0,1,97,48,7
The Skin I Live In,0,0,1,120,70,7.6
Miracles from Heaven,0,0,1,109,44,7
Annie,0,1,1,118,33,5.3
Across the Universe,0,0,1,133,56,7.4
Let's Be Cops,0,1,0,104,30,6.5
Max,0,0,0,111,47,6.8
Your Highness,0,1,0,102,31,5.6
Final Destination 5,0,0,0,92,50,5.9
Endless Love,0,0,1,104,30,6.3
Martyrs,0,0,0,99,89,7.1
Selma,0,0,1,128,,7.5
Underworld: Rise of the Lycans,1,0,0,92,44,6.6
Taare Zameen Par,0,0,1,165,42,8.5
Take Me Home Tonight,0,1,1,97,,6.3
Resident Evil: Afterlife,1,0,0,97,37,5.9
Project X,0,1,0,88,48,6.7
Secret in Their Eyes,0,0,1,111,45,6.2
Hostel: Part II,0,0,0,94,46,5.5
Step Up 2: The Streets,0,0,1,98,50,6.2
Search Party,0,1,0,93,22,5.6
Nine Lives,0,1,0,87,11,5.3
